Employee Name;Building;Department;SS#;Phone;Status;Hire Date;Month;Years;Benefits; Comp. ;Job Rating;;;;;;
Abbott, James;North;Quality Control;627-49-4412;(252) 824-9735;Full Time;15/05/2001;May; 19 ; DMR ; 58.370 ;5;;;;;;
Acosta, Robert;West;Project & Contract Services;570-75-6015;(252) 223-8535;Half-Time;16/06/2015;June; 5 ; DM ; 49.355 ;5;;;;;;
Adams, David;North;Quality Control;458-73-4969;(919) 635-4278;Full Time;23/07/2013;July; 7 ; DMR ; 82.370 ;5;;;;;;
Adkins, Michael;Main;Manufacturing;931-10-5030;(919) 139-7811;Full Time;06/02/2004;February; 17 ; R ; 61.330 ;4;;;;;;
Aguilar, Kevin;West;Operations;662-24-7915;(919) 437-8387;Full Time;04/12/2005;December; 15 ; DMR ; 48.990 ;5;;;;;;
Alexander, Charles;North;Project & Contract Services;765-51-2793;(919) 768-6976;Full Time;06/12/2013;December; 7 ; DMR ; 64.320 ;5;;;;;;
Allen, Thomas;Watson;Quality Control;626-64-8632;(252) 641-2482;Contract;01/05/2007;May; 13 ;; 49.090 ;4;;;;;;
Allison, Timothy;West;Research Center;776-82-3797;(919) 348-2736;Contract;13/03/1996;March; 25 ;; 85.510 ;4;;;;;;
Alvarado, Sonia;West;Operations;343-89-7392;(252) 667-4988;Full Time;23/04/2001;April; 19 ; DMR ; 48.800 ;4;;;;;;
Alvarez, Steven;Watson;Quality Control;120-22-4342;(919) 898-6390;Hourly;09/08/2004;August; 16 ;; 32.536 ;2;;;;;;
Anderson, Teason;North;Quality Assurance;622-20-0296;(252) 630-6545;Full Time;05/01/1997;January; 24 ; DMR ; 65.571 ;3;;;;;;
Andrews, Diane;West;Quality Control;247-42-2007;(252) 801-2440;Contract;18/11/2003;November; 17 ;; 58.250 ;2;;;;;;
Anthony, Robert;South;Quality Control;651-99-9482;(252) 301-4821;Full Time;04/06/2013;June; 7 ; DMR ; 22.820 ;5;;;;;;
Armstrong, David;North;Logistics;116-86-9057;(252) 161-4846;Half-Time;11/12/1999;December; 21 ; M ; 15.005 ;4;;;;;;
Arnold, Cole;North;Peptide Chemistry;557-56-8959;(919) 278-3818;Contract;02/11/2001;November; 19 ;; 54.190 ;4;;;;;;
Ashley, Michael;North;Manufacturing;920-47-7476;(252) 316-2442;Contract;13/02/2001;February; 20 ;; 24.410 ;3;;;;;;
Atkins, Kevin;Main;Quality Control;916-94-4119;(252) 490-7564;Contract;12/05/2006;May; 14 ;; 28.270 ;5;;;;;;
Atkinson, Danielle;Main;Process Development;972-08-6665;(252) 600-7063;Full Time;13/06/2009;June; 11 ; R ; 86.200 ;3;;;;;;
Austin, William;South;Engineering/Operations;676-83-1149;(919) 282-4485;Full Time;17/08/2012;August; 8 ; DMR ; 71.120 ;4;;;;;;
Avila, Jody;Main;Major Mfg Projects;244-17-1882;(252) 757-7867;Half-Time;22/12/1998;December; 22 ; M ; 89.780 ;4;;;;;;
Ayala, Polly;Main;Manufacturing;592-63-1929;(252) 392-2629;Contract;27/07/2001;July; 19 ;; 52.940 ;4;;;;;;
Ayers, Douglas;Watson;Admin Training;456-94-6966;(919) 468-0033;Full Time;11/06/2005;June; 15 ; D ; 74.840 ;4;;;;;;
Bailey, Victor;North;Engineering/Maintenance;496-26-0023;(252) 396-2015;Full Time;05/03/1999;March; 22 ; DM ; 74.670 ;5;;;;;;
Baker, Barney;West;Quality Control;877-57-4472;(252) 410-0997;Contract;27/03/1996;March; 24 ;; 34.680 ;5;;;;;;
Baldwin, Ray;West;Project & Contract Services;502-20-0672;(252) 792-5201;Contract;05/06/2015;June; 5 ;; 57.680 ;4;;;;;;
Ball, Kirk;Main;Audit Services;243-35-0742;(252) 830-4204;Hourly;17/06/2002;June; 18 ;; 20.028 ;4;;;;;;
Ballard, Martin;West;Engineering/Maintenance;936-73-0279;(252) 803-3253;Half-Time;11/01/2002;January; 19 ; M ; 48.415 ;4;;;;;;
Banks, Ryan;South;Manufacturing;725-73-7456;(919) 184-7141;Contract;22/03/2011;March; 9 ;; 59.330 ;4;;;;;;
Barber, Robbie;Main;Project & Contract Services;737-15-2868;(919) 112-4357;Full Time;12/03/2005;March; 16 ; D ; 48.330 ;1;;;;;;
Barker, Heidi;North;Quality Control;970-46-6937;(919) 204-2331;Contract;29/06/1996;June; 24 ;; 62.480 ;5;;;;;;
Barnes, Grant;North;Quality Control;546-54-6374;(919) 272-7944;Half-Time;13/08/2004;August; 16 ; R ; 26.185 ;5;;;;;;
Barnett, Brenda;Main;Manufacturing;984-57-0981;(252) 815-5179;Half-Time;02/02/2004;February; 17 ; R ; 48.190 ;1;;;;;;
Barr, Jennifer;South;Peptide Chemistry;247-55-5666;(252) 818-3445;Full Time;29/10/1996;October; 24 ; DMR ; 39.110 ;5;;;;;;
Barrett, John;North;Engineering/Maintenance;870-10-6287;(252) 861-1970;Half-Time;18/05/1999;May; 21 ; D ; 38.920 ;4;;;;;;
Barron, Michael;West;Manufacturing Admin;620-07-2502;(919) 126-4013;Full Time;02/09/2011;September; 9 ; D ; 71.400 ;4;;;;;;
Bartlett, Julia;West;Manufacturing;416-39-4493;(252) 522-8252;Full Time;08/03/2003;March; 18 ; M ; 55.450 ;5;;;;;;
Barton, Barry;South;Project & Contract Services;445-69-3854;(919) 289-1217;Contract;19/05/2000;May; 20 ;; 76.870 ;5;;;;;;
Bass, Justin;West;Project & Contract Services;217-96-8415;(252) 281-4530;Full Time;11/11/2002;November; 18 ; M ; 22.870 ;3;;;;;;
Bates, Verna;Main;Manufacturing;806-50-8287;(252) 880-1464;Full Time;12/11/1996;November; 24 ; DMR ; 52.940 ;4;;;;;;
Bauer, Chris;Main;Engineering/Maintenance;627-67-8686;(252) 610-1454;Contract;30/12/2001;December; 19 ;; 74.740 ;5;;;;;;
Baxter, Teresa;Main;Project & Contract Services;505-68-0981;(252) 755-7761;Full Time;20/06/2006;June; 14 ; DMR ; 29.130 ;1;;;;;;
Bean, Deborah;Main;Quality Assurance;709-23-4421;(252) 383-8954;Full Time;10/12/1999;December; 21 ; DMR ; 39.000 ;5;;;;;;
Caldwell, Pete;Main;Admin Training;535-53-9723;(252) 349-2633;Half-Time;08/06/1996;June; 24 ; DM ; 30.445 ;1;;;;;;
Beasley, Timothy;Main;Quality Assurance;180-83-2423;(919) 809-7539;Full Time;26/07/2003;July; 17 ; D ; 79.610 ;2;;;;;;
Beck, Craig;North;Process Development;248-82-0119;(252) 171-1684;Full Time;01/02/2003;February; 18 ; DMR ; 68.520 ;5;;;;;;
Becker, Gretchen;North;Manufacturing;594-68-0949;(919) 237-5580;Half-Time;04/07/2004;July; 16 ; R ; 17.270 ;5;;;;;;
Bell, David;Watson;Quality Control;592-70-9648;(919) 179-7370;Contract;08/04/2006;April; 14 ;; 77.136 ;5;;;;;;
Bennett, Chris;Main;Quality Assurance;718-93-0584;(919) 580-4771;Half-Time;21/11/2003;November; 17 ; DMR ; 34.980 ;2;;;;;;
Benson, Troy;South;Quality Control;843-29-9208;(919) 863-1557;Half-Time;11/01/2013;January; 8 ; D ; 49.080 ;5;;;;;;
Berry, Jacklyn;West;Process Development;972-79-1650;(252) 523-6892;Half-Time;18/05/2007;May; 13 ; DMR ; 33.810 ;5;;;;;;
Best, Lara;West;Operations;259-33-0447;(919) 525-2544;Contract;17/11/2003;November; 17 ;; 47.620 ;5;;;;;;
Bishop, Juan;Main;Manufacturing;371-00-1908;(252) 706-1632;Full Time;03/08/2001;August; 19 ; DM ; 45.480 ;4;;;;;;
Black, Cliff;West;Research Center;797-98-5708;(919) 357-8185;Full Time;16/04/2006;April; 14 ; D ; 40.680 ;5;;;;;;
